arm,split,mode,step,image_count,eligible_image_count,mae_m,bias_m,mean_image_std_ratio,below_min_fraction,foreground_mae_m,foreground_bias_m,foreground_pred_std_m,foreground_gt_std_m,foreground_mean_image_std_ratio,flat_image_fraction,local_contrast_ratio,local_slope,local_correlation,local_difference_mae_m,sigmoid_derivative_mean
D0,validation_test_seen,eval,700,32,32,0.004366632005257998,-2.1013068362663034e-05,1.0040554017401855,0.0,0.007568986286059953,-0.0006080157202177361,0.04197258088970557,0.04316521727014333,0.9761189330726583,0.0,1.0230780114551894,0.6412751052889013,0.6270085948508196,0.0023752858869556803,0.24333422631025314
D0,validation_test_seen,eval,800,32,32,0.004168196115642786,-3.716678861565015e-06,0.9670629072357579,0.0,0.007706118878559209,0.0012168959201517282,0.04080924269510433,0.04316521727014333,0.9481304777555472,0.0,1.038278982589379,0.6322902811344592,0.612138821532141,0.0024141790127032436,0.2435791790485382
D0,validation_test_seen,eval,900,32,32,0.004462354692805093,0.000782424311688068,1.0097531147947156,0.0,0.00746190694917459,0.0003462465291832473,0.0428760705399327,0.04316521727014333,0.9966208246887929,0.0,1.0271143615574243,0.6478380367331875,0.63207148201199,0.0023754382091283333,0.24339107051491737
D0,validation_test_seen,eval,1000,32,32,0.004959637684805784,0.0024235407274773024,0.9788799688694698,0.0,0.00784298918733839,0.0028884227954222297,0.04174850508570671,0.04316521727014333,0.9700463841038387,0.0,1.0415858746989755,0.6494537784853961,0.6258695865629973,0.0023896789534774143,0.24376886989921331
D0,validation_test_seen,train,0,32,32,0.00393119957880117,0.0008521096053755173,0.9830716099238251,0.0,0.007355519541306421,0.0013392770722475689,0.04165380430640653,0.04316521727014333,0.9673891580699109,0.0,1.0186962460515177,0.6369977162820093,0.6285702924571466,0.002279904354509199,0.24357456481084228
D0,validation_test_seen,train,50,32,32,0.004025746253319085,-0.00010593905017231009,0.9895941780870698,0.0,0.007667937999940477,-0.0003313474376227532,0.04176244587870315,0.04316521727014333,0.9703441728480725,0.0,1.043004331085307,0.6409455214036108,0.6163481953289693,0.0024037491348281037,0.24342435272410512
D0,validation_test_seen,train,100,32,32,0.004934132273774594,0.0025172991086037655,1.0055423995484942,0.0,0.008080409359536134,0.003351268935148255,0.04265209205914289,0.04316521727014333,0.991085841297355,0.0,1.0219684500423936,0.6416251406358173,0.6300522791636709,0.0023548250646854285,0.2436131672002375
D0,validation_test_seen,train,200,32,32,0.004607770148140844,0.0014128173972949298,0.9675422397885866,0.0,0.007781798180076294,0.0015439840478848055,0.040921407111454755,0.04316521727014333,0.9498737855560407,0.0,1.050023142926046,0.6463466436731584,0.6181394192176485,0.002384947263635695,0.24372791964560747
D0,validation_test_seen,train,300,32,32,0.004423288250109181,0.0005423430642963467,0.9801817836464038,0.0,0.007642647571628913,-8.914605950849364e-05,0.04166371311293915,0.04316521727014333,0.9665481048993341,0.0,1.011490914995693,0.6296721782603698,0.62563886416189,0.00235026110385661,0.24356310302391648
D0,validation_test_seen,train,400,32,32,0.004204991135338787,0.0008543682142772013,0.9997083100716124,0.0,0.0073552978137740865,0.0008678966091792972,0.04301610589027405,0.04316521727014333,0.9982658196009837,0.0,1.0107191856926365,0.6274311905848867,0.6235667917296313,0.002344560096389614,0.24347119219601154
